id,title,popularity,release_date,launch Month,launch Year ,vote_average,vote_count
372519,The Ten Commandments: The Movie,33.806,1/28/2016,1,2016,7.223,303
399579,Alita: Battle Angel,79.724,1/31/2019,1,2019,7.222,8538
364689,Ferdinand,56.243,12/9/2017,12,2017,7.222,2678
5825,National Lampoon's Christmas Vacation,92.366,11/30/1989,11,1989,7.222,2117
211387,Marvel One-Shot: Agent Carter,20.496,9/3/2013,9,2013,7.222,690
10086,Man Bites Dog,20.304,8/20/1992,8,1992,7.221,828
34433,Dragon Ball Z: Broly – The Legendary Super Saiyan,69.583,3/6/1993,3,1993,7.221,815
1716,The Last Metro,17.837,9/17/1980,9,1980,7.221,441
11832,Babette's Feast,16.856,8/11/1987,8,1987,7.221,349
268,Batman,56.755,6/21/1989,6,1989,7.22,7231
1878,Fear and Loathing in Las Vegas,30.619,5/22/1998,5,1998,7.22,4278
329819,Standing Tall,9.643,5/13/2015,5,2015,7.22,447
809140,Father Stu,29.658,4/13/2022,4,2022,7.219,474
374205,One Piece Film: GOLD,26.379,7/23/2016,7,2016,7.219,441
401104,To the Bone,25.91,1/22/2017,1,2017,7.218,3364
807196,Boiling Point,19.373,7/5/2021,7,2021,7.218,432
374671,After the Storm,14.259,5/21/2016,5,2016,7.218,301
1538,Collateral,42.86,8/4/2004,8,2004,7.217,5156
370964,I Am Dragon,25.92,12/3/2015,12,2015,7.217,338
3086,The Lady Eve,11.183,2/25/1941,2,1941,7.217,307
204436,Jack and the Cuckoo-Clock Heart,19.255,2/5/2014,2,2014,7.215,662
446696,Life Itself,25.147,9/21/2018,9,2018,7.215,506
12622,Violent Cop,14.053,8/12/1989,8,1989,7.215,340
10518,Marathon Man,21.987,10/8/1976,10,1976,7.214,962
9267,And Now for Something Completely Different,12.394,9/28/1971,9,1971,7.214,470
793998,Happening,17.174,11/24/2021,11,2021,7.214,336
34134,Barbie in A Mermaid Tale,35.937,1/25/2010,1,2010,7.213,703
695,Short Cuts,15.419,9/5/1993,9,1993,7.213,526
9576,Tootsie,23.459,12/17/1982,12,1982,7.212,1608
10860,Steel Magnolias,35.744,11/15/1989,11,1989,7.212,604
774752,The Guardians of the Galaxy Holiday Special,55.757,11/25/2022,11,2022,7.211,1688
15196,Clue,34.401,12/13/1985,12,1985,7.211,1539
2654,In the Mouth of Madness,17.112,2/3/1995,2,1995,7.211,1496
859,Dangerous Liaisons,15.469,12/21/1988,12,1988,7.211,1056
436,Maria Full of Grace,10.915,1/18/2004,1,2004,7.211,353
56825,Compagni di scuola,4.984,12/21/1988,12,1988,7.211,342
399366,Marrowbone,24.404,10/27/2017,10,2017,7.21,1339
14047,The Great Debaters,15.003,12/25/2007,12,2007,7.209,548
385687,Fast X,749.903,5/17/2023,5,2023,7.208,4335
75258,Secret of the Wings,67.288,8/17/2012,8,2012,7.207,1127
18320,The Young Victoria,18.875,3/4/2009,3,2009,7.207,951
241863,As the Gods Will,28.778,11/15/2014,11,2014,7.207,443
10705,Henry V,15.667,10/5/1989,10,1989,7.207,334
170,28 Days Later,48.53,10/31/2002,10,2002,7.206,6183
251,Ghost,45.767,7/13/1990,7,1990,7.206,5153
257211,The Intern,56.14,9/23/2015,9,2015,7.205,6270
585245,Clifford the Big Red Dog,63.072,11/10/2021,11,2021,7.205,1628
10149,Smoke,16.946,6/9/1995,6,1995,7.205,431
403431,Brigsby Bear,9.31,7/27/2017,7,2017,7.205,344
736732,Broker,30.341,6/8/2022,6,2022,7.205,341
10528,Sherlock Holmes,58.078,12/23/2009,12,2009,7.204,13270
5176,3:10 to Yuma,21.6,9/6/2007,9,2007,7.204,3288
429200,Good Time,34.955,8/11/2017,8,2017,7.204,2638
86829,Inside Llewyn Davis,18.752,10/13/2013,10,2013,7.204,2503
62215,Melancholia,19.002,5/26/2011,5,2011,7.203,3244
6978,Big Trouble in Little China,30.824,5/30/1986,5,1986,7.203,2732
407655,A Cinderella Story: If the Shoe Fits,35.369,8/2/2016,8,2016,7.203,805
21519,Project A,21.604,12/22/1983,12,1983,7.203,412
10198,The Princess and the Frog,106.265,12/8/2009,12,2009,7.202,5129
664300,Shiva Baby,18.329,4/2/2021,4,2021,7.202,490
623,A Fish Called Wanda,32.101,7/15/1988,7,1988,7.201,1966
16563,Seven Brides for Seven Brothers,16.934,7/22/1954,7,1954,7.201,495
11773,Village of the Damned,15.2,6/16/1960,6,1960,7.201,383
520736,Loro 2,6.214,5/10/2018,5,2018,7.201,358
6479,I Am Legend,76.171,12/12/2007,12,2007,7.2,14820
404368,Ralph Breaks the Internet,76.644,11/20/2018,11,2018,7.2,7066
530385,Midsommar,61.419,7/3/2019,7,2019,7.2,6347
505642,Black Panther: Wakanda Forever,215.291,11/9/2022,11,2022,7.2,5647
23168,The Town,67.208,9/15/2010,9,2010,7.2,4677
14306,Marley & Me,36.21,12/25/2008,12,2008,7.2,4342
34584,The NeverEnding Story,31.311,4/6/1984,4,1984,7.2,3733
2024,The Patriot,52.086,6/28/2000,6,2000,7.2,3603
499932,The Devil All the Time,32.529,9/11/2020,9,2020,7.2,3064
1621,Trading Places,43.653,6/7/1983,6,1983,7.2,2957
1278,The Dreamers,39.433,9/1/2003,9,2003,7.2,2658
527435,The Christmas Chronicles,73.952,11/22/2018,11,2018,7.2,1963
2609,"Planes, Trains and Automobiles",41.526,11/26/1987,11,1987,7.2,1730
560050,Over the Moon,41.091,10/16/2020,10,2020,7.2,1215
227,The Outsiders,26.701,3/25/1983,3,1983,7.2,1208
17111,Shutter,29.048,9/9/2004,9,2004,7.2,1092
138,Dracula,26.34,2/12/1931,2,1931,7.2,1080
817758,TÁR,37.725,9/23/2022,9,2022,7.2,963
11850,Invasion of the Body Snatchers,36.09,12/20/1978,12,1978,7.2,955
213121,Toy Story of Terror!,1.4,10/16/2013,10,2013,7.2,864
10772,Django,22.613,4/6/1966,4,1966,7.2,819
844,2046,23.272,5/20/2004,5,2004,7.2,796
420622,Professor Marston and the Wonder Women,21.831,10/13/2017,10,2017,7.2,794
5902,A Bridge Too Far,31.304,6/15/1977,6,1977,7.2,724
20345,The Bird with the Crystal Plumage,14.632,2/27/1970,2,1970,7.2,681
11093,House of Sand and Fog,13.612,12/19/2003,12,2003,7.2,679
13283,Barbie as the Island Princess,28.951,9/17/2007,9,2007,7.2,661
39108,Dragon Ball Z: Wrath of the Dragon,71.942,7/15/1995,7,1995,7.2,645
653851,Devotion,49.755,11/23/2022,11,2022,7.2,583
4415,Les Misérables,20.311,5/1/1998,5,1998,7.2,555
287495,Labyrinth of Lies,10.919,9/6/2014,9,2014,7.2,540
830784,"Lyle, Lyle, Crocodile",68.518,10/7/2022,10,2022,7.2,482
595671,Never Rarely Sometimes Always,16.377,3/13/2020,3,2020,7.2,472
765245,Swan Song,15.6,12/17/2021,12,2021,7.2,431
